playerID, Last_Name,  First_Name, BH, TH, teamID, Position
johnc003,Johnson,Chris,R,R,ATL,3B
johnj010,Johnson,Jim,R,R,ATL,P
johnk003,Johnson,Kelly,L,R,ATL,OF
kellr001,Kelly,Ryan,R,R,ATL,P
kohnm001,Kohn,Michael,R,R,ATL,P
lavar001,Lavarnway,Ryan,R,R,ATL,C
markn001,Markakis,Nick,L,L,ATL,OF
maris001,Marimon,Sugar Ray,R,R,ATL,P
markm001,Marksberry,Matt,L,L,ATL,P
martc008,Martin,Cody,R,R,ATL,P
massn001,Masset,Nick,R,R,ATL,P
maybc001,Maybin,Cameron,R,R,ATL,OF
mckia001,McKirahan,Andrew,R,L,ATL,P
mills001,Miller,Shelby,R,R,ATL,P
moylp001,Moylan,Peter,R,R,ATL,P
olivh001,Olivera,Hector,R,R,ATL,3B
peree003,Perez,Eury,R,R,ATL,OF
perew001,Perez,Williams,R,R,ATL,P
petej002,Peterson,Jace,L,R,ATL,3B
piera001,Pierzynski,A.J.,L,R,ATL,C
simma001,Simmons,Andrelton,R,R,ATL,SS
stule002,Stults,Eric,L,L,ATL,P
swisn001,Swisher,Nick,B,L,ATL,OF
tehej001,Teheran,Julio,R,R,ATL,P
terdj001,Terdoslavich,Joey,B,R,ATL,OF
thomi001,Thomas,Ian,R,L,ATL,P
uribj002,Uribe,Juan,R,R,ATL,SS
veald001,Veal,Donnie,L,L,ATL,P
vizca001,Vizcaino,Arodys,R,R,ATL,P
weber001,Weber,Ryan,R,R,ATL,P
winkd001,Winkler,Daniel,R,R,ATL,P
wislm001,Wisler,Matt,R,R,ATL,P
wooda002,Wood,Alex,R,L,ATL,P
youne003,Young,Eric,B,R,ATL,OF
alvad002,Alvarez,Dariel,R,R,BAL,OF
bracb001,Brach,Brad,R,R,BAL,P
britz001,Britton,Zach,L,L,BAL,P
cabrc001,Cabral,Cesar,L,L,BAL,P
cabre001,Cabrera,Everth,B,R,BAL,2B
chenw001,Chen,Wei-Yin,L,L,BAL,P
clevs001,Clevenger,Steve,L,R,BAL,C
davic003,Davis,Chris,L,R,BAL,1B
deaza001,de Aza,Alejandro,L,L,BAL,OF
drako001,Drake,Oliver,R,R,BAL,P
flahr001,Flaherty,Ryan,L,R,BAL,3B
garcj005,Garcia,Jason,R,R,BAL,P
gausk001,Gausman,Kevin,L,R,BAL,P
givem001,Givens,Mychal,R,R,BAL,P
gonzm003,Gonzalez,Miguel,R,R,BAL,P
hardj003,Hardy,J.J.,R,R,BAL,SS
huntt002,Hunter,Tommy,R,R,BAL,P
janip001,Janish,Paul,R,R,BAL,SS
jimeu001,Jimenez,Ubaldo,R,R,BAL,P
johns001,Johnson,Steve,R,R,BAL,P
jonea003,Jones,Adam,R,R,BAL,OF
josec002,Joseph,Caleb,R,R,BAL,C
lakej001,Lake,Junior,R,R,BAL,3B
lavar001,Lavarnway,Ryan,R,R,BAL,C
lougd001,Lough,David,L,L,BAL,OF
machm001,Machado,Manny,R,R,BAL,3B
matub001,Matusz,Brian,L,L,BAL,P
mcfat001,McFarland,T.J.,L,L,BAL,P
navar001,Navarro,Rey,B,R,BAL,2B
norrb001,Norris,Bud,R,R,BAL,P
odayd001,O'Day,Darren,R,R,BAL,P
parej002,Paredes,Jimmy,B,R,BAL,SS
parmc001,Parmelee,Chris,L,L,BAL,1B
parrg001,Parra,Gerardo,L,L,BAL,OF
pears001,Pearce,Steve,R,R,BAL,OF
reimn001,Reimold,Nolan,R,R,BAL,OF
roe-c001,Roe,Chaz,R,R,BAL,P
rondj001,Rondon,Jorge,R,R,BAL,P
schoj001,Schoop,Jonathan,R,R,BAL,3B
snidt001,Snider,Travis,L,L,BAL,OF
tillc001,Tillman,Chris,R,R,BAL,P
urruh001,Urrutia,Henry,L,R,BAL,OF
walkc002,Walker,Christian,R,R,BAL,1B
wietm001,Wieters,Matt,B,R,BAL,C
wilst004,Wilson,Tyler,R,R,BAL,P
wrigm001,Wright,Mike,R,R,BAL,P
wrigw001,Wright,Wesley,R,L,BAL,P
yound003,Young,Delmon,R,R,BAL,OF
aro-j001,Aro,Jonathan,R,R,BOS,P
barnm001,Barnes,Matt,R,R,BOS,P
bettm001,Betts,Mookie,R,R,BOS,2B
bianj001,Bianchi,Jeff,R,R,BOS,SS
bogax001,Bogaerts,Xander,R,R,BOS,SS
bradj001,Bradley,Jackie,L,R,BOS,OF
bresc001,Breslow,Craig,L,L,BOS,P
buchc001,Buchholz,Clay,L,R,BOS,P
castr004,Castillo,Rusney,R,R,BOS,OF
ceccg001,Cecchini,Garin,L,R,BOS,3B
cookr001,Cook,Ryan,R,R,BOS,P
craia001,Craig,Allen,R,R,BOS,OF
deaza001,de Aza,Alejandro,L,L,BOS,OF
hanir001,Hanigan,Ryan,R,R,BOS,C
hembh001,Hembree,Heath,R,R,BOS,P
hillr001,Hill,Rich,L,L,BOS,P
hinod001,Hinojosa,Dalier,R,R,BOS,P
holtb002,Holt,Brock,L,R,BOS,2B
jimel002,Jimenez,Luis,R,R,BOS,3B
johnb004,Johnson,Brian,L,L,BOS,P
kellj001,Kelly,Joe,R,R,BOS,P
laynt001,Layne,Tom,L,L,BOS,P
leons001,Leon,Sandy,B,R,BOS,C
machj002,Machi,Jean,R,R,BOS,P
marrd001,Marrero,Deven,R,R,BOS,2B
mastj001,Masterson,Justin,R,R,BOS,P
mendr002,Mendez,Roman,R,R,BOS,P
milew001,Miley,Wade,L,L,BOS,P
mujie001,Mujica,Edward,R,R,BOS,P
napom001,Napoli,Mike,R,R,BOS,1B
navad002,Nava,Daniel,B,L,BOS,OF
ogana001,Ogando,Alexi,R,R,BOS,P
ortid001,Ortiz,David,L,L,BOS,1B
owenh002,Owens,Henry,L,L,BOS,P
pedrd001,Pedroia,Dustin,R,R,BOS,2B
peguc001,Peguero,Carlos,L,L,BOS,OF
porcr001,Porcello,Rick,R,R,BOS,P
ramih003,Ramirez,Hanley,R,R,BOS,OF
ramin002,Ramirez,Noe,R,R,BOS,P
rodre004,Rodriguez,Eduardo,L,L,BOS,P
rossr002,Ross,Robbie,L,L,BOS,P
rutlj001,Rutledge,Josh,R,R,BOS,SS
sandp001,Sandoval,Pablo,L,R,BOS,3B
shawt001,Shaw,Travis,L,R,BOS,1B
swihb001,Swihart,Blake,B,R,BOS,C
tazaj001,Tazawa,Junichi,R,R,BOS,P
uehak001,Uehara,Koji,R,R,BOS,P
varva001,Varvaro,Anthony,R,R,BOS,P
victs001,Victorino,Shane,R,R,BOS,OF
weekj001,Weeks,Jemile,B,R,BOS,2B
wrigs001,Wright,Steven,R,R,BOS,P
abrej003,Abreu,Jose,R,R,CHA,1B
albem001,Albers,Matt,L,R,CHA,P
beckc002,Beck,Chris,R,R,CHA,P
beckg001,Beckham,Gordon,R,R,CHA,3B
bonie001,Bonifacio,Emilio,B,R,CHA,2B
branr002,Brantly,Rob,L,R,CHA,C
cabrm002,Cabrera,Melky,B,L,CHA,OF
carrs001,Carroll,Scott,R,R,CHA,P
dankj001,Danks,John,L,L,CHA,P
drabk001,Drabek,Kyle,R,R,CHA,P
dukez001,Duke,Zach,L,L,CHA,P
eatoa002,Eaton,Adam,L,L,CHA,OF
flowt001,Flowers,Tyler,R,R,CHA,C
garca003,Garcia,Avisail,R,R,CHA,OF
garcl004,Garcia,Leury,B,R,CHA,SS
gillc001,Gillaspie,Conor,L,R,CHA,1B
guerj002,Guerra,Javy,R,R,CHA,P
guerj003,Guerra,Junior,R,R,CHA,P
jennd003,Jennings,Dan,L,L,CHA,P
johne003,Johnson,Erik,R,R,CHA,P
johnm006,Johnson,Micah,L,R,CHA,2B
jonen001,Jones,Nate,R,R,CHA,P
laroa001,LaRoche,Adam,L,L,CHA,1B
montf001,Montas,Frankie,R,R,CHA,P
noesh001,Noesi,Hector,R,R,CHA,P
olt-m001,Olt,Mike,R,R,CHA,3B
petrj001,Petricka,Jake,R,R,CHA,P
putnz001,Putnam,Zach,R,R,CHA,P
quinj001,Quintana,Jose,R,L,CHA,P
ramia003,Ramirez,Alexei,R,R,CHA,OF
robed002,Robertson,David,R,R,CHA,P
rodoc001,Rodon,Carlos,L,L,CHA,P
salat001,Saladino,Tyler,R,R,CHA,SS
