"Season","Team","Basic","1B","2B","3B","HR","SO","BB","GB","FB","LD","IFFB","FIP"
"2015","Angels","95","100","96","88","92","101","97","100","99","98","97","97"
"2015","Orioles","103","101","100","86","107","99","101","101","100","99","100","104"
"2015","Red Sox","105","102","114","100","95","100","101","102","98","105","102","98"
"2015","White Sox","102","99","99","90","111","102","107","97","102","98","104","103"
"2015","Indians","100","99","101","83","101","101","98","101","98","100","95","100"
"2015","Tigers","101","102","98","124","100","95","99","101","103","98","103","100"
"2015","Royals","101","101","101","118","95","97","99","102","101","101","95","99"
"2015","Twins","101","102","102","110","94","98","100","101","99","103","101","100"
"2015","Yankees","101","100","98","85","111","100","100","99","101","98","100","103"
"2015","Athletics","97","99","99","107","92","99","101","99","101","101","107","98"
"2015","Mariners","96","99","98","84","98","101","97","98","103","97","105","97"
"2015","Rays","96","98","95","104","95","101","100","98","101","99","110","98"
"2015","Rangers","106","102","100","110","106","98","101","100","101","102","98","103"
"2015","Blue Jays","102","99","107","106","109","102","99","99","102","102","100","101"
"2015","Diamondbacks","104","99","104","122","104","100","98","100","100","99","96","100"
"2015","Braves","99","100","99","94","99","103","100","98","99","102","96","97"
"2015","Cubs","100","101","101","103","101","101","102","100","100","100","98","101"
"2015","Reds","102","99","97","98","113","103","100","99","100","98","102","103"
"2015","Rockies","117","108","109","126","116","95","100","106","100","109","95","108"
"2015","Marlins","100","101","101","117","89","98","100","100","100","100","98","97"
"2015","Astros","100","98","100","107","105","103","101","100","100","98","100","101"
"2015","Dodgers","96","99","98","75","102","100","98","100","100","98","108","99"
"2015","Brewers","104","100","100","97","111","101","103","98","101","103","98","104"
"2015","Nationals","100","104","102","87","97","98","97","101","100","103","97","99"
"2015","Mets","94","97","95","87","102","101","100","97","103","98","107","100"
"2015","Phillies","100","98","100","94","107","102","101","99","101","97","102","102"
"2015","Pirates","96","101","101","93","88","95","96","102","99","100","99","97"
"2015","Cardinals","98","99","99","95","93","98","100","100","100","101","100","99"
"2015","Padres","95","98","95","102","96","102","101","101","98","98","95","99"
"2015","Giants","92","99","98","108","87","100","100","101","95","98","95","94"
